title,year,field,abstract,methodology,source_url
Controlled Evaluation of an Adaptive IDE Hint System,2023,Software Engineering,"We report a randomized controlled experiment evaluating an adaptive hint system for novice programmers. Participants (n=84) were randomly assigned to treatment and control conditions while solving six programming tasks. We measured task completion time, error rate, and post-task workload. Treatment users completed tasks faster with fewer errors.",experiment,
A/B Testing Notification Strategies in a Mobile Learning App,2022,Educational Technology,"This study investigates the effect of notification timing on learner engagement via a two-week A/B test. Students were randomly allocated to immediate or batched notifications while using a mobile quiz app. Immediate notifications increased daily active use but did not change quiz accuracy.",experiment,
Latency and Performance in Competitive Gaming,2021,Human-Computer Interaction,"We conducted a counterbalanced within-subjects lab experiment to examine the effect of induced network latency on aiming performance. Forty players completed tasks under four latency levels. Accuracy degraded non-linearly beyond 50 ms.",experiment,
Evaluating a Streaming Anomaly Detector with Synthetic Injection,2024,Data Science,"We evaluated an online anomaly detection model using a controlled experiment on a benchmark stream augmented with synthetic faults. Injection frequency and magnitude were manipulated. The approach improved precision and F1 while keeping latency under 20 ms.",experiment,
Energy-aware Compiler Flags: A Controlled Experiment,2020,Systems,"We ran a controlled experiment to quantify the effect of compiler flags on energy usage in embedded boards. Twelve configurations were tested across five benchmarks. ANOVA showed significant main effects for optimization level.",experiment,
Gesture Password Usability Under Distraction,2023,Security UX,"A lab experiment studied gesture password performance with induced auditory distraction. Fifty participants completed login tasks with and without noise. Error rate increased under distraction while completion time remained stable.",experiment,
AR Overlays for Repair Tasks,2022,Human-Computer Interaction,"We compared augmented reality overlays against tablet instructions in a between-subjects experiment for a repair task. AR reduced task time by 18% and lowered NASA-TLX workload scores.",experiment,
Code Comment Quality and Bug Fixing Speed,2021,Software Engineering,"A within-subjects experiment measured bug fixing speed with high-quality versus low-quality code comments. Thirty developers completed matched tasks. High-quality comments improved median time-to-fix by 14%.",experiment,
Prompt Engineering for Text Summarization,2024,NLP,"We executed an experiment comparing four prompt templates across three datasets. Blind human ratings assessed coherence and factuality. A chain-of-thought style improved factuality but slowed inference.",experiment,
Battery Drain Under Dark Mode,2019,Mobile Computing,"In a controlled battery rundown test on six Android devices, we measured drain under light versus dark mode across three apps. Dark mode reduced power by 7–10% on OLED devices; no effect on LCD.",experiment,
